time, temp
2:40a, (19.687,67.55)
2:41b, (21.375,70.475)
2:41a, (19.937,67.8866)
2:42b, (21.437,70.5866)
2:42a, (20.062,68.11160000000001)
2:44b, (21.375,70.475)
2:44a, (20.062,68.11160000000001)
2:45b, (21.312,70.475)
2:45a, (19.937,67.8866)
2:46b, (21.312,70.475)
2:46a, (19.937,68.0)
2:47b, (21.312,70.36160000000001)
2:47a, (19.937,67.8866)
2:48b, (21.437,70.5866)
2:48a, (19.937,67.8866)
2:49b, (21.437,70.7)
2:49a, (19.812,67.775)
2:50b, (21.5,70.7)
2:50a, (19.75,67.55)
2:51b, (21.5,70.8116)
2:51a, (19.625,67.4366)
2:52b, (21.5,70.7)
2:52a, (19.562,67.325)
2:53b, (21.437,70.7)
2:53a, (19.625,67.325)
2:54b, (21.437,70.7)
2:54a, (19.5,67.2116)
2:55b, (21.375,70.475)
2:55a, (19.437,67.1)
2:56b, (21.375,70.475)
2:56a, (19.437,67.1)
2:57b, (21.375,70.475)
2:57a, (19.5,67.1)
2:58b, (21.375,70.5866)
2:58a, (19.562,67.325)
2:59b, (21.312,70.475)
2:59a, (19.687,67.55)
3:1b, (21.312,70.475)
3:1a, (19.937,67.8866)
3:2b, (21.312,70.475)
3:2a, (20.0,68.0)
3:3b, (21.312,70.475)
3:3a, (20.0,68.0)
3:4b, (21.312,70.36160000000001)
3:4a, (20.0,68.0)
3:5b, (21.312,70.475)
3:5a, (20.0,68.11160000000001)
3:6b, (21.375,70.475)
3:6a, (20.0,68.0)
3:7b, (21.437,70.5866)
3:7a, (19.875,67.775)
3:8b, (21.5,70.8116)
3:8a, (19.75,67.55)
3:9b, (21.562,70.8116)
3:9a, (19.625,67.325)
3:10b, (21.437,70.7)
3:10a, (19.562,67.2116)
3:11b, (21.437,70.5866)
3:11a, (19.5,67.1)
3:12b, (21.375,70.5866)
3:12a, (19.5,67.1)
3:13b, (21.375,70.475)
3:13a, (19.437,66.98660000000001)
3:14b, (21.312,70.475)
3:14a, (19.437,67.1)
3:15b, (21.312,70.36160000000001)
3:15a, (19.5,67.1)
3:16b, (21.312,70.475)
3:16a, (19.5,67.1)
3:17b, (21.437,70.7)
3:17a, (19.625,67.4366)
3:19b, (21.375,70.475)
3:19a, (19.75,67.6616)
3:20b, (21.312,70.36160000000001)
3:20a, (19.812,67.6616)
3:21b, (21.312,70.36160000000001)
3:21a, (19.812,67.55)
3:22b, (21.312,70.36160000000001)
3:22a, (19.75,67.55)
3:23b, (21.25,70.36160000000001)
3:23a, (19.75,67.6616)
3:24b, (21.312,70.475)
3:24a, (19.687,67.55)
3:25b, (21.375,70.475)
3:25a, (19.625,67.4366)
3:26b, (21.312,70.475)
3:26a, (19.562,67.325)
3:27b, (21.312,70.475)
3:27a, (19.562,67.2116)
3:28b, (21.375,70.475)
3:28a, (19.312,66.7616)
3:29b, (21.312,70.36160000000001)
3:29a, (19.312,66.875)
3:30b, (21.312,70.36160000000001)
3:30a, (19.312,66.875)
3:31b, (21.312,70.36160000000001)
3:31a, (19.375,66.875)
3:32b, (21.25,70.36160000000001)
3:32a, (19.375,66.875)
3:33b, (21.25,70.25)
3:33a, (19.375,66.875)
3:34b, (21.25,70.36160000000001)
3:34a, (19.562,67.2116)
3:35b, (21.25,70.36160000000001)
3:35a, (19.812,67.6616)
3:37b, (21.25,70.36160000000001)
3:37a, (19.937,67.8866)
3:38b, (21.312,70.36160000000001)
3:38a, (19.812,67.6616)
3:39b, (21.312,70.36160000000001)
3:39a, (19.937,68.0)
3:40b, (21.312,70.475)
3:40a, (19.875,67.775)
3:41b, (21.375,70.475)
3:41a, (19.75,67.6616)
3:42b, (21.437,70.5866)
3:42a, (19.625,67.4366)
3:43b, (21.437,70.7)
3:43a, (19.562,67.2116)
3:44b, (21.437,70.7)
3:44a, (19.375,66.98660000000001)
3:45b, (21.437,70.5866)
3:45a, (19.375,66.875)
3:46b, (21.375,70.5866)
3:46a, (19.312,66.7616)
3:47b, (21.312,70.475)
3:47a, (19.25,66.65)
3:48b, (21.312,70.36160000000001)
3:48a, (19.25,66.7616)
3:49b, (21.312,70.475)
3:49a, (19.312,66.875)
3:50b, (21.312,70.36160000000001)
3:50a, (19.312,66.7616)
3:51b, (21.312,70.36160000000001)
3:51a, (19.437,66.98660000000001)
3:52b, (21.312,70.36160000000001)
3:52a, (19.562,67.2116)
3:54b, (21.312,70.36160000000001)
3:54a, (19.75,67.55)
3:55b, (21.25,70.36160000000001)
3:55a, (19.687,67.4366)
3:56b, (21.25,70.36160000000001)
3:56a, (19.625,67.325)
3:57b, (21.25,70.36160000000001)
3:57a, (19.625,67.325)
3:58b, (21.25,70.25)
3:58a, (19.562,67.325)
3:59b, (21.25,70.36160000000001)
3:59a, (19.562,67.2116)
4:0b, (21.312,70.36160000000001)
4:0a, (19.5,67.1)
4:1b, (21.312,70.475)
4:1a, (19.375,66.98660000000001)
4:2b, (21.312,70.36160000000001)
4:2a, (19.312,66.875)
4:3b, (21.312,70.475)
4:3a, (19.25,66.65)
4:4b, (21.312,70.475)
4:4a, (19.125,66.5366)
4:5b, (21.25,70.36160000000001)
4:5a, (19.187,66.65)
4:6b, (21.25,70.25)
4:6a, (19.25,66.7616)
4:7b, (21.25,70.25)
4:7a, (19.25,66.65)
4:8b, (21.25,70.25)
4:8a, (19.25,66.7616)
4:9b, (21.25,70.25)
4:9a, (19.5,67.1)
4:10b, (21.312,70.36160000000001)
4:10a, (19.812,67.55)
4:12b, (21.25,70.36160000000001)
4:12a, (19.812,67.6616)
4:13b, (21.25,70.36160000000001)
4:13a, (19.75,67.55)
4:14b, (21.25,70.25)
4:14a, (19.687,67.4366)
4:15b, (21.312,70.36160000000001)
4:15a, (19.687,67.4366)
4:16b, (21.375,70.475)
4:16a, (19.5,67.1)
4:17b, (21.375,70.475)
4:17a, (19.562,67.2116)
4:18b, (21.312,70.475)
4:18a, (19.375,66.98660000000001)
4:19b, (21.375,70.475)
4:19a, (19.25,66.65)
4:20b, (21.312,70.475)
4:20a, (19.187,66.5366)
4:21b, (21.312,70.36160000000001)
4:21a, (19.187,66.65)
4:22b, (21.312,70.36160000000001)
4:22a, (19.062,66.425)
4:23b, (21.25,70.25)
4:23a, (19.0,66.3116)
4:24b, (21.187,70.25)
4:24a, (19.125,66.5366)
4:25b, (21.187,70.1366)
4:25a, (19.187,66.5366)
4:26b, (21.25,70.25)
4:26a, (19.437,66.98660000000001)
4:27b, (21.25,70.25)
4:27a, (19.437,67.2116)
4:28b, (21.187,70.1366)
4:28a, (19.562,67.325)
4:30b, (21.187,70.25)
4:30a, (19.562,67.2116)
4:31b, (21.187,70.1366)
4:31a, (19.562,67.2116)
4:32b, (21.187,70.1366)
4:32a, (19.5,67.1)
4:33b, (21.187,70.25)
4:33a, (19.375,66.875)
4:34b, (21.25,70.25)
4:34a, (19.375,66.875)
4:35b, (21.25,70.25)
4:35a, (19.25,66.65)
4:36b, (21.25,70.25)
4:36a, (19.25,66.65)
4:37b, (21.187,70.1366)
4:37a, (19.187,66.5366)
4:38b, (21.187,70.25)
4:38a, (19.062,66.3116)
4:39b, (21.187,70.1366)
4:39a, (19.0,66.3116)
4:40b, (21.187,70.1366)
4:40a, (19.062,66.3116)
4:41b, (21.187,70.1366)
4:41a, (19.062,66.3116)
4:42b, (21.125,70.025)
4:42a, (19.125,66.5366)
4:43b, (21.187,70.25)
4:43a, (19.375,66.98660000000001)
4:44b, (21.187,70.1366)
4:44a, (19.562,67.325)
4:45b, (21.187,70.1366)
4:45a, (19.5,67.1)
4:47b, (21.187,70.1366)
4:47a, (19.5,67.2116)
4:48b, (21.125,70.1366)
4:48a, (19.5,67.2116)
4:49b, (21.187,70.1366)
4:49a, (19.562,66.98660000000001)
4:50b, (21.187,70.1366)
4:50a, (19.375,66.875)
4:51b, (21.187,70.1366)
4:51a, (19.375,66.65)
4:52b, (21.187,70.1366)
4:52a, (19.187,66.5366)
4:53b, (21.187,70.1366)
4:53a, (19.125,66.5366)
4:54b, (21.187,70.1366)
4:54a, (19.062,66.425)
4:55b, (21.187,70.1366)
4:55a, (18.937,66.0866)
4:56b, (21.125,70.1366)
4:56a, (18.937,66.0866)
4:57b, (21.125,70.025)
4:57a, (19.0,66.2)
4:58b, (21.062,70.025)
4:58a, (18.937,66.2)
4:59b, (21.187,70.1366)
4:59a, (19.125,66.5366)
5:0b, (21.125,70.025)
5:0a, (19.312,66.7616)
5:1b, (21.125,70.1366)
5:1a, (19.437,67.1)
5:2b, (21.125,70.025)
5:2a, (19.375,66.98660000000001)
5:3b, (21.125,70.025)
5:3a, (19.437,66.98660000000001)
5:5b, (21.125,70.025)
5:5a, (19.375,66.875)
5:6b, (21.125,70.025)
5:6a, (19.375,66.875)
5:7b, (21.125,70.1366)
5:7a, (19.312,66.7616)
5:8b, (21.125,70.025)
5:8a, (19.25,66.7616)
5:9b, (21.125,70.1366)
5:9a, (19.125,66.5366)
5:10b, (21.187,70.1366)
5:10a, (19.062,66.3116)
5:11b, (21.125,70.1366)
5:11a, (19.0,66.2)
5:12b, (21.187,70.1366)
5:12a, (18.937,66.2)
5:13b, (21.125,70.025)
5:13a, (18.875,65.975)
5:14b, (21.062,69.9116)
5:14a, (18.875,66.0866)
5:15b, (21.062,70.025)
5:15a, (18.937,66.0866)
5:16b, (21.062,70.025)
5:16a, (18.937,66.2)
5:17b, (21.187,70.1366)
5:17a, (19.187,66.5366)
5:18b, (21.125,70.025)
5:18a, (19.437,66.98660000000001)
5:19b, (21.125,70.025)
5:19a, (19.437,67.1)
5:20b, (21.125,70.025)
5:20a, (19.312,66.875)
5:21b, (21.125,70.025)
5:21a, (19.375,66.875)
5:23b, (21.125,70.025)
5:23a, (19.437,66.98660000000001)
5:24b, (21.062,70.025)
5:24a, (19.312,66.875)
5:25b, (21.125,70.1366)
5:25a, (19.187,66.65)
5:26b, (21.187,70.1366)
5:26a, (19.062,66.425)
5:27b, (21.125,70.1366)
5:27a, (19.062,66.3116)
5:28b, (21.187,70.1366)
5:28a, (18.937,66.0866)
5:29b, (21.125,70.1366)
5:29a, (18.875,66.0866)
5:30b, (21.125,70.025)
5:30a, (18.875,65.975)
5:31b, (21.062,70.025)
5:31a, (18.875,65.975)
5:32b, (21.062,69.9116)
5:32a, (18.812,65.975)
5:33b, (21.062,70.025)
5:33a, (18.875,65.975)
5:34b, (21.062,69.9116)
5:34a, (19.062,66.425)
5:35b, (21.125,70.025)
5:35a, (19.312,66.7616)
5:36b, (21.062,70.025)
5:36a, (19.312,66.7616)
5:37b, (21.062,69.9116)
5:37a, (19.25,66.65)
5:38b, (21.062,69.9116)
5:38a, (19.312,66.7616)
5:40b, (21.062,69.9116)
5:40a, (19.25,66.65)
5:41b, (21.062,69.9116)
5:41a, (19.125,66.5366)
5:42b, (21.125,70.025)
5:42a, (19.062,66.425)
5:43b, (21.125,70.1366)
5:43a, (19.0,66.2)
5:44b, (21.125,70.025)
5:44a, (18.937,66.0866)
5:45b, (21.062,70.025)
5:45a, (18.875,65.975)
5:46b, (21.125,70.025)
5:46a, (18.75,65.86160000000001)
5:47b, (21.062,69.9116)
5:47a, (18.75,65.75)
5:48b, (21.062,69.9116)
5:48a, (18.812,65.86160000000001)
5:49b, (21.0,69.8)
5:49a, (18.75,65.86160000000001)
5:50b, (21.062,70.025)
5:50a, (18.937,66.0866)
5:51b, (21.062,69.9116)
5:51a, (19.125,66.5366)
5:52b, (21.062,69.9116)
5:52a, (19.312,66.7616)
5:53b, (21.062,69.9116)
5:53a, (19.312,66.7616)
5:54b, (21.062,69.9116)
5:54a, (19.25,66.7616)
5:55b, (21.0,69.9116)
5:55a, (19.187,66.5366)
5:56b, (21.0,69.9116)
5:56a, (19.125,66.5366)
5:58b, (21.062,69.9116)
5:58a, (19.125,66.425)
5:59b, (21.062,70.025)
5:59a, (19.0,66.2)
6:0b, (21.062,69.9116)
6:0a, (18.937,66.2)
6:1b, (21.062,70.025)
6:1a, (18.875,65.975)
6:2b, (21.062,70.025)
6:2a, (18.812,65.86160000000001)
6:3b, (21.062,69.9116)
6:3a, (18.75,65.75)
6:4b, (21.0,69.9116)
6:4a, (18.687,65.6366)
6:5b, (21.0,69.8)
6:5a, (18.687,65.75)
6:6b, (21.0,69.8)
6:6a, (18.75,65.75)
6:7b, (21.0,69.8)
6:7a, (19.0,66.3116)
6:8b, (21.062,69.9116)
6:8a, (19.187,66.65)
6:9b, (21.0,69.9116)
6:9a, (19.312,66.7616)
6:10b, (21.062,69.9116)
6:10a, (19.25,66.65)
6:11b, (21.062,69.9116)
6:11a, (19.187,66.5366)
6:12b, (21.0,69.9116)
6:12a, (19.187,66.65)
6:13b, (21.062,69.9116)
6:13a, (19.125,66.425)
6:15b, (21.125,70.025)
6:15a, (19.062,66.3116)
6:16b, (21.062,69.9116)
6:16a, (18.937,66.2)
6:17b, (21.125,70.025)
6:17a, (18.875,66.0866)
6:18b, (21.125,70.025)
6:18a, (18.812,65.86160000000001)
6:19b, (21.125,70.025)
6:19a, (18.625,65.6366)
6:20b, (21.062,69.9116)
6:20a, (18.625,65.6366)
6:21b, (21.0,69.8)
6:21a, (18.625,65.6366)
6:22b, (21.0,69.8)
6:22a, (18.625,65.6366)
6:23b, (20.937,69.8)
6:23a, (18.687,65.6366)
6:24b, (21.062,69.8)
6:24a, (18.937,66.0866)
6:25b, (21.0,69.9116)
6:25a, (19.125,66.5366)
6:26b, (21.0,69.9116)
6:26a, (19.25,66.65)
6:27b, (21.0,69.8)
6:27a, (19.125,66.5366)
6:28b, (21.0,69.9116)
6:28a, (19.25,66.65)
6:29b, (21.0,69.8)
6:29a, (19.125,66.5366)
6:30b, (21.0,69.9116)
6:30a, (19.062,66.3116)
6:31b, (21.062,69.9116)
6:31a, (19.0,66.2)
6:33b, (21.062,69.9116)
6:33a, (18.812,65.975)
6:34b, (21.062,69.9116)
6:34a, (18.75,65.86160000000001)
6:35b, (21.062,69.9116)
6:35a, (18.687,65.75)
6:36b, (21.0,69.9116)
6:36a, (18.625,65.6366)
6:37b, (21.0,69.8)
6:37a, (18.625,65.525)
6:38b, (20.937,69.8)
6:38a, (18.687,65.6366)
6:39b, (20.937,69.6866)
6:39a, (18.625,65.6366)
6:40b, (21.0,69.8)
6:40a, (18.875,66.0866)
6:41b, (21.0,69.8)
6:41a, (19.125,66.425)
6:42b, (21.0,69.8)
6:42a, (19.125,66.5366)
6:43b, (21.0,69.8)
6:43a, (19.062,66.3116)
6:44b, (21.0,69.8)
6:44a, (19.062,66.425)
6:45b, (21.0,69.8)
6:45a, (19.125,66.425)
6:46b, (21.0,69.8)
6:46a, (19.0,66.3116)
6:47b, (21.0,69.8)
6:47a, (18.937,66.2)
6:48b, (21.062,69.9116)
6:48a, (18.937,66.0866)
6:49b, (21.062,70.025)
6:49a, (18.812,65.86160000000001)
6:51b, (21.062,69.9116)
6:51a, (18.75,65.75)
6:52b, (21.062,69.9116)
6:52a, (18.687,65.6366)
6:53b, (21.0,69.9116)
6:53a, (18.625,65.525)
6:54b, (20.937,69.8)
6:54a, (18.562,65.4116)
6:55b, (20.937,69.6866)
6:55a, (18.625,65.525)
6:56b, (20.937,69.8)
6:56a, (18.562,65.4116)
6:57b, (21.0,69.8)
6:57a, (18.75,65.75)
6:58b, (21.0,69.9116)
6:58a, (19.0,66.2)
6:59b, (21.0,69.8)
6:59a, (19.062,66.425)
7:0b, (20.937,69.8)
7:0a, (19.062,66.3116)
7:1b, (20.937,69.8)
7:1a, (19.062,66.425)
7:2b, (20.937,69.8)
7:2a, (19.062,66.425)
7:3b, (21.0,69.8)
7:3a, (19.0,66.2)
7:4b, (21.0,69.9116)
7:4a, (18.875,65.975)
7:5b, (21.062,69.9116)
7:5a, (18.75,65.86160000000001)
7:6b, (21.0,69.9116)
7:6a, (18.75,65.86160000000001)
7:8b, (21.0,69.9116)
7:8a, (18.687,65.6366)
7:9b, (21.0,69.8)
7:9a, (18.625,65.525)
7:10b, (20.937,69.6866)
7:10a, (18.625,65.525)
7:11b, (20.937,69.6866)
7:11a, (18.625,65.525)
7:12b, (20.937,69.6866)
7:12a, (18.562,65.525)
7:13b, (20.937,69.6866)
7:13a, (18.625,65.6366)
7:14b, (20.875,69.575)
7:14a, (18.812,65.86160000000001)
7:15b, (20.937,69.6866)
7:15a, (19.0,66.3116)
7:16b, (20.937,69.6866)
7:16a, (19.062,66.3116)
7:17b, (20.937,69.6866)
7:17a, (19.0,66.3116)
7:18b, (20.937,69.6866)
7:18a, (19.0,66.2)
7:19b, (20.875,69.6866)
7:19a, (18.937,66.2)
7:20b, (20.937,69.6866)
7:20a, (18.937,66.0866)
7:21b, (20.937,69.8)
7:21a, (18.812,65.975)
7:22b, (21.0,69.8)
7:22a, (18.75,65.75)
7:23b, (21.0,69.8)
7:23a, (18.75,65.6366)
7:24b, (21.0,69.8)
7:24a, (18.625,65.525)
7:26b, (20.937,69.6866)
7:26a, (18.562,65.4116)
7:27b, (20.875,69.575)
7:27a, (18.562,65.4116)
7:28b, (20.875,69.575)
7:28a, (18.562,65.3)
7:29b, (20.875,69.575)
7:29a, (18.5,65.1866)
7:30b, (20.875,69.6866)
7:30a, (18.625,65.525)
7:31b, (20.875,69.575)
7:31a, (18.812,65.86160000000001)
7:32b, (20.875,69.575)
7:32a, (18.937,66.0866)
7:33b, (20.812,69.575)
7:33a, (18.937,66.0866)
7:34b, (20.875,69.575)
7:34a, (18.875,66.0866)
7:35b, (20.812,69.4616)
7:35a, (18.812,65.975)
7:36b, (20.75,69.4616)
7:36a, (18.75,65.86160000000001)
7:37b, (20.812,69.4616)
7:37a, (18.812,65.6366)
7:38b, (20.875,69.575)
7:38a, (18.625,65.525)
7:39b, (20.812,69.575)
7:39a, (18.625,65.6366)
7:40b, (20.812,69.4616)
7:40a, (18.625,65.525)
7:41b, (20.812,69.575)
7:41a, (18.625,65.3)
7:43b, (20.812,69.4616)
7:43a, (18.437,65.3)
7:44b, (20.75,69.4616)
7:44a, (18.437,65.1866)
7:45b, (20.75,69.35)
7:45a, (18.437,65.1866)
7:46b, (20.75,69.4616)
7:46a, (18.562,65.525)
7:47b, (20.75,69.4616)
7:47a, (18.812,65.975)
7:48b, (20.812,69.575)
7:48a, (18.937,66.2)
7:49b, (20.812,69.4616)
7:49a, (18.875,66.0866)
7:50b, (20.75,69.4616)
7:50a, (18.875,65.975)
7:51b, (20.812,69.4616)
7:51a, (18.875,65.975)
7:52b, (20.75,69.4616)
7:52a, (18.812,65.975)
7:53b, (20.812,69.4616)
7:53a, (18.687,65.75)
7:54b, (20.812,69.4616)
7:54a, (18.75,65.6366)
7:55b, (20.875,69.575)
7:55a, (18.625,65.525)
7:56b, (20.875,69.575)
7:56a, (18.562,65.4116)
7:57b, (20.875,69.575)
7:57a, (18.562,65.3)
7:58b, (20.812,69.4616)
7:58a, (18.375,65.1866)
7:59b, (20.75,69.4616)
7:59a, (18.437,65.1866)
8:1b, (20.812,69.4616)
8:1a, (18.437,65.1866)
8:2b, (20.875,69.6866)
8:2a, (18.437,65.6366)
8:3b, (20.875,69.575)
8:3a, (18.812,65.975)
8:4b, (20.875,69.6866)
8:4a, (19.062,66.3116)
8:5b, (20.875,69.575)
8:5a, (18.937,66.2)
8:6b, (20.875,69.575)
8:6a, (18.937,66.2)
8:7b, (20.875,69.575)
8:7a, (18.937,66.2)
8:8b, (20.875,69.575)
8:8a, (19.0,66.0866)
8:9b, (20.875,69.575)
8:9a, (18.812,65.975)
8:10b, (20.937,69.6866)
8:10a, (18.687,65.75)
8:11b, (20.937,69.6866)
8:11a, (18.625,65.6366)
8:12b, (20.937,69.6866)
8:12a, (18.562,65.4116)
8:13b, (20.937,69.6866)
8:13a, (18.5,65.3)
8:14b, (20.937,69.6866)
8:14a, (18.437,65.1866)
8:15b, (20.875,69.575)
8:15a, (18.437,65.3)
8:16b, (20.875,69.575)
8:16a, (18.437,65.1866)
8:17b, (20.937,69.6866)
8:17a, (18.625,65.525)
8:19b, (20.875,69.6866)
8:19a, (18.75,65.86160000000001)
8:20b, (20.875,69.575)
8:20a, (19.0,66.3116)
8:21b, (20.875,69.575)
8:21a, (18.937,66.0866)
8:22b, (20.812,69.575)
8:22a, (18.875,66.0866)
8:23b, (20.875,69.575)
8:23a, (18.937,66.0866)
8:24b, (20.812,69.575)
8:24a, (18.875,65.975)
8:25b, (20.875,69.6866)
8:25a, (18.75,65.86160000000001)
8:26b, (20.937,69.6866)
8:26a, (18.687,65.6366)
8:27b, (20.937,69.6866)
8:27a, (18.625,65.6366)
8:28b, (20.937,69.6866)
8:28a, (18.625,65.525)
8:29b, (20.875,69.575)
8:29a, (18.562,65.525)
8:30b, (20.875,69.575)
8:30a, (18.5,65.4116)
8:31b, (20.812,69.575)
8:31a, (18.5,65.3)
8:32b, (20.812,69.4616)
8:32a, (18.437,65.3)
8:33b, (20.812,69.575)
8:33a, (18.625,65.525)
8:34b, (20.937,69.6866)
8:34a, (18.812,65.86160000000001)
8:36b, (21.0,69.8)
8:36a, (19.062,66.425)
8:37b, (20.937,69.8)
8:37a, (19.062,66.3116)
8:38b, (20.937,69.6866)
8:38a, (19.0,66.2)
8:39b, (20.875,69.6866)
8:39a, (19.062,66.425)
8:40b, (20.937,69.6866)
8:40a, (19.062,66.3116)
8:41b, (20.937,69.6866)
8:41a, (19.0,66.2)
8:42b, (20.937,69.6866)
8:42a, (18.812,65.975)
8:43b, (20.937,69.6866)
8:43a, (18.75,65.86160000000001)
8:44b, (20.937,69.6866)
8:44a, (18.625,65.6366)
8:45b, (20.875,69.575)
8:45a, (18.625,65.525)
8:46b, (20.875,69.6866)
8:46a, (18.437,65.3)
8:47b, (20.875,69.575)
8:47a, (18.375,65.1866)
8:48b, (20.812,69.4616)
8:48a, (18.375,65.075)
8:49b, (20.812,69.575)
8:49a, (18.562,65.4116)
8:50b, (20.812,69.4616)
8:50a, (18.75,65.86160000000001)
8:51b, (20.812,69.575)
8:51a, (19.125,66.425)
8:52b, (20.875,69.4616)
8:52a, (19.062,66.425)
8:54b, (20.812,69.575)
8:54a, (19.0,66.2)
8:55b, (20.875,69.575)
8:55a, (19.062,66.425)
8:56b, (20.875,69.575)
8:56a, (19.25,66.65)
8:57b, (20.875,69.575)
8:57a, (19.25,66.65)
8:58b, (20.875,69.575)
8:58a, (19.125,66.425)
8:59b, (20.875,69.575)
8:59a, (19.0,66.2)
9:0b, (20.812,69.575)
9:0a, (18.937,66.2)
9:1b, (20.812,69.575)
9:1a, (18.875,65.975)
9:2b, (20.812,69.575)
9:2a, (18.75,65.86160000000001)
9:3b, (20.812,69.4616)
9:3a, (18.687,65.6366)
9:4b, (20.812,69.4616)
9:4a, (18.687,65.75)
9:5b, (20.75,69.4616)
9:5a, (18.562,65.4116)
9:6b, (20.75,69.35)
9:6a, (18.5,65.4116)
9:7b, (20.75,69.35)
9:7a, (18.437,65.3)
9:8b, (20.687,69.35)
9:8a, (18.375,65.1866)
9:9b, (20.687,69.35)
9:9a, (18.375,65.075)
9:10b, (20.687,69.23660000000001)
9:10a, (18.375,65.075)
9:12b, (20.687,69.23660000000001)
9:12a, (18.312,64.9616)
9:13b, (20.687,69.23660000000001)
9:13a, (18.375,65.1866)
9:14b, (20.687,69.23660000000001)
9:14a, (18.562,65.4116)
9:15b, (20.687,69.23660000000001)
9:15a, (18.75,65.75)
9:16b, (20.687,69.35)
9:16a, (18.812,65.86160000000001)
9:17b, (20.75,69.35)
9:17a, (19.0,66.2)
9:18b, (20.812,69.4616)
9:18a, (19.0,66.3116)
9:19b, (21.0,69.8)
9:19a, (19.25,66.65)
9:20b, (20.937,69.8)
9:20a, (20.0,68.0)
9:21b, (21.0,69.8)
9:21a, (20.562,69.125)
9:22b, (21.062,69.9116)
9:22a, (20.75,69.35)
9:23b, (21.125,70.025)
9:23a, (20.875,69.6866)
9:24b, (21.187,70.1366)
9:24a, (20.812,69.4616)
9:25b, (21.187,70.25)
9:25a, (20.437,68.7866)
9:26b, (21.375,70.475)
9:26a, (19.75,67.6616)
9:27b, (21.375,70.475)
9:27a, (19.375,66.875)
9:29b, (21.375,70.475)
9:29a, (19.187,66.65)
9:30b, (21.25,70.25)
9:30a, (19.125,66.5366)
9:31b, (21.187,70.1366)
9:31a, (19.062,66.3116)
9:32b, (21.187,70.1366)
9:32a, (18.937,66.2)
9:33b, (21.187,70.1366)
9:33a, (19.0,66.2)
9:34b, (21.25,70.25)
9:34a, (19.062,66.3116)
9:35b, (21.187,70.1366)
9:35a, (19.25,66.7616)
9:36b, (21.125,70.1366)
9:36a, (19.375,66.875)
9:37b, (21.125,70.1366)
9:37a, (19.562,67.2116)
9:38b, (21.125,70.025)
9:38a, (19.562,67.325)
9:39b, (21.062,70.025)
9:39a, (19.562,67.2116)
9:40b, (21.062,69.9116)
9:40a, (19.625,67.325)
9:41b, (21.062,69.9116)
9:41a, (19.562,67.2116)
9:42b, (21.25,70.25)
9:42a, (19.437,67.1)
9:43b, (21.25,70.25)
9:43a, (19.312,66.875)
9:44b, (21.187,70.1366)
9:44a, (19.25,66.65)
9:45b, (21.187,70.25)
9:45a, (19.25,66.65)
9:47b, (21.187,70.1366)
9:47a, (19.25,66.7616)
9:48b, (21.125,70.025)
9:48a, (19.312,66.7616)
9:49b, (21.125,70.1366)
9:49a, (19.25,66.65)
9:50b, (21.125,70.025)
9:50a, (19.187,66.65)
9:51b, (21.125,70.025)
9:51a, (19.125,66.5366)
9:52b, (21.125,70.025)
9:52a, (19.25,66.7616)
9:53b, (21.125,70.1366)
9:53a, (19.5,67.1)
9:54b, (21.187,70.1366)
9:54a, (19.687,67.55)
9:55b, (21.187,70.1366)
9:55a, (19.687,67.4366)
9:56b, (21.187,70.1366)
9:56a, (19.562,67.2116)
9:57b, (21.187,70.1366)
9:57a, (19.562,67.2116)
9:58b, (21.187,70.1366)
9:58a, (19.625,67.325)
9:59b, (21.25,70.36160000000001)
9:59a, (19.562,67.325)
10:0b, (21.25,70.25)
10:0a, (19.5,67.1)
10:1b, (21.312,70.36160000000001)
10:1a, (19.437,67.1)
10:2b, (21.312,70.36160000000001)
10:2a, (19.375,66.98660000000001)
10:3b, (21.312,70.36160000000001)
10:3a, (19.375,66.98660000000001)
10:5b, (21.187,70.36160000000001)
10:5a, (19.312,66.875)
10:6b, (21.187,70.25)
10:6a, (19.25,66.7616)
10:7b, (21.187,70.25)
10:7a, (19.25,66.65)
10:8b, (21.187,70.1366)
10:8a, (19.25,66.7616)
10:9b, (21.187,70.1366)
10:9a, (19.25,66.7616)
10:10b, (21.187,70.25)
10:10a, (19.375,66.875)
10:11b, (21.187,70.25)
10:11a, (19.687,67.4366)
10:12b, (21.187,70.25)
10:12a, (19.625,67.325)
10:13b, (21.187,70.25)
10:13a, (19.625,67.325)
10:14b, (21.187,70.25)
10:14a, (19.625,67.325)
10:15b, (21.187,70.25)
10:15a, (19.687,67.4366)
10:16b, (21.187,70.25)
10:16a, (19.687,67.4366)
10:17b, (21.25,70.25)
10:17a, (19.625,67.325)
10:18b, (21.187,70.1366)
10:18a, (19.5,67.1)
10:19b, (21.25,70.25)
10:19a, (19.437,66.98660000000001)
10:20b, (21.187,70.25)
10:20a, (19.437,67.1)
10:22b, (21.187,70.25)
10:22a, (19.375,66.875)
10:23b, (21.187,70.25)
10:23a, (19.312,66.875)
10:24b, (21.187,70.1366)
10:24a, (19.312,66.7616)
10:25b, (21.187,70.1366)
10:25a, (19.312,66.875)
10:26b, (21.187,70.1366)
10:26a, (19.375,66.875)
10:27b, (21.312,70.36160000000001)
10:27a, (19.562,67.325)
10:28b, (21.25,70.36160000000001)
10:28a, (19.75,67.55)
10:29b, (21.25,70.25)
10:29a, (19.875,67.775)
10:30b, (21.187,70.1366)
